Round  510, temp = 20.000000, fitness =  56
Round  511, temp = 20.000000, fitness =  56
Round  512, temp = 20.000000, fitness =  56
Round  513, temp = 20.000000, fitness =  56
Round  514, temp = 20.000000, fitness =  56
Round  515, temp = 20.000000, fitness =  56
Round  516, temp = 20.000000, fitness =  56
Round  517, temp = 20.000000, fitness =  56
Round  518, temp = 20.000000, fitness =  56
Round  519, temp = 20.000000, fitness =  56
Round  520, temp = 20.000000, fitness =  56
Round  521, temp = 20.000000, fitness =  56
Round  522, temp = 20.000000, fitness =  56
Round  523, temp = 20.000000, fitness =  56
Round  524, temp = 20.000000, fitness =  56
Round  525, temp = 20.000000, fitness =  56
Round  526, temp = 20.000000, fitness =  56
Round  527, temp = 20.000000, fitness =  56
Round  528, temp = 20.000000, fitness =  56
Round  529, temp = 20.000000, fitness =  56
Round  530, temp = 20.000000, fitness =  56
Round  531, temp = 20.000000, fitness =  56
Round  532, temp = 20.000000, fitness =  56
Round  533, temp = 20.000000, fitness =  56
Round  534, temp = 20.000000, fitness =  56
Round  535, temp = 20.000000, fitness =  56
Round  536, temp = 20.000000, fitness =  56
Round  537, temp = 20.000000, fitness =  56
Round  538, temp = 20.000000, fitness =  56
Round  539, temp = 20.000000, fitness =  56
Round  540, temp = 20.000000, fitness =  56
Round  541, temp = 20.000000, fitness =  56
Round  542, temp = 20.000000, fitness =  56
Round  543, temp = 20.000000, fitness =  56
Round  544, temp = 20.000000, fitness =  56
Round  545, temp = 20.000000, fitness =  56
Round  546, temp = 20.000000, fitness =  56
Round  547, temp = 20.000000, fitness =  56
Round  548, temp = 20.000000, fitness =  56
Round  549, temp = 20.000000, fitness =  56
Round  550, temp = 20.000000, fitness =  56
Round  551, temp = 20.000000, fitness =  56
Round  552, temp = 20.000000, fitness =  56
Round  553, temp = 20.000000, fitness =  56
Round  554, temp = 20.000000, fitness =  56
Round  555, temp = 20.000000, fitness =  56
Round  556, temp = 20.000000, fitness =  56
Round  557, temp = 20.000000, fitness =  56
Round  558, temp = 20.000000, fitness =  56
Round  559, temp = 20.000000, fitness =  56
Round  560, temp = 20.000000, fitness =  56
Round  561, temp = 20.000000, fitness =  56
Round  562, temp = 20.000000, fitness =  56
Round  563, temp = 20.000000, fitness =  56
Round  564, temp = 20.000000, fitness =  56
Round  565, temp = 20.000000, fitness =  56
Round  566, temp = 20.000000, fitness =  56
Round  567, temp = 20.000000, fitness =  56
Round  568, temp = 20.000000, fitness =  56
Round  569, temp = 20.000000, fitness =  56
Round  570, temp = 20.000000, fitness =  56
Round  571, temp = 20.000000, fitness =  56
Round  572, temp = 20.000000, fitness =  56
Round  573, temp = 20.000000, fitness =  56
Round  574, temp = 20.000000, fitness =  56
Round  575, temp = 20.000000, fitness =  56
Round  576, temp = 20.000000, fitness =  56
Round  577, temp = 20.000000, fitness =  56
Round  578, temp = 20.000000, fitness =  56
Round  579, temp = 20.000000, fitness =  56
Round  580, temp = 20.000000, fitness =  56
Round  581, temp = 20.000000, fitness =  56
Round  582, temp = 20.000000, fitness =  56
Round  583, temp = 20.000000, fitness =  56
Round  584, temp = 20.000000, fitness =  56
Round  585, temp = 20.000000, fitness =  56
Round  586, temp = 20.000000, fitness =  56
Round  587, temp = 20.000000, fitness =  56
Round  588, temp = 20.000000, fitness =  56
Round  589, temp = 20.000000, fitness =  56
Round  590, temp = 20.000000, fitness =  56
Round  591, temp = 20.000000, fitness =  56
Round  592, temp = 20.000000, fitness =  56
Round  593, temp = 20.000000, fitness =  56
Round  594, temp = 20.000000, fitness =  56
Round  595, temp = 20.000000, fitness =  56
Round  596, temp = 20.000000, fitness =  56
Round  597, temp = 20.000000, fitness =  56
Round  598, temp = 20.000000, fitness =  56
Round  599, temp = 20.000000, fitness =  56
Round  600, temp = 20.000000, fitness =  56
Round  601, temp = 20.000000, fitness =  56
Round  602, temp = 20.000000, fitness =  56
Round  603, temp = 20.000000, fitness =  56
Round  604, temp = 20.000000, fitness =  56
Round  605, temp = 20.000000, fitness =  56
Round  606, temp = 20.000000, fitness =  56
Round  607, temp = 20.000000, fitness =  56
Round  608, temp = 20.000000, fitness =  56
Round  609, temp = 20.000000, fitness =  56
Round  610, temp = 20.000000, fitness =  56
Round  611, temp = 20.000000, fitness =  56
Round  612, temp = 20.000000, fitness =  56
Round  613, temp = 20.000000, fitness =  56
Round  614, temp = 20.000000, fitness =  56
Round  615, temp = 20.000000, fitness =  56
Round  616, temp = 20.000000, fitness =  56
Round  617, temp = 20.000000, fitness =  56
Round  618, temp = 20.000000, fitness =  56
Round  619, temp = 20.000000, fitness =  56
Round  620, temp = 20.000000, fitness =  56
Round  621, temp = 20.000000, fitness =  56
Round  622, temp = 20.000000, fitness =  56
Round  623, temp = 20.000000, fitness =  56
Round  624, temp = 20.000000, fitness =  56
Round  625, temp = 20.000000, fitness =  56
Round  626, temp = 20.000000, fitness =  56
Round  627, temp = 20.000000, fitness =  56
Round  628, temp = 20.000000, fitness =  56
Round  629, temp = 20.000000, fitness =  56
Round  630, temp = 20.000000, fitness =  56
Round  631, temp = 20.000000, fitness =  56
Round  632, temp = 20.000000, fitness =  56
Round  633, temp = 20.000000, fitness =  56
Round  634, temp = 20.000000, fitness =  56
Round  635, temp = 20.000000, fitness =  56
Round  636, temp = 20.000000, fitness =  56
Round  637, temp = 20.000000, fitness =  56
Round  638, temp = 20.000000, fitness =  56
Round  639, temp = 20.000000, fitness =  56
Round  640, temp = 20.000000, fitness =  56
Round  641, temp = 20.000000, fitness =  56
Round  642, temp = 20.000000, fitness =  56
Round  643, temp = 20.000000, fitness =  56
Round  644, temp = 20.000000, fitness =  56
Round  645, temp = 20.000000, fitness =  56
Round  646, temp = 20.000000, fitness =  56
Round  647, temp = 20.000000, fitness =  56
Round  648, temp = 20.000000, fitness =  56
Round  649, temp = 20.000000, fitness =  56
Round  650, temp = 20.000000, fitness =  56
Round  651, temp = 20.000000, fitness =  56
Round  652, temp = 20.000000, fitness =  56
Round  653, temp = 20.000000, fitness =  56
Round  654, temp = 20.000000, fitness =  56
Round  655, temp = 20.000000, fitness =  56
Round  656, temp = 20.000000, fitness =  56
Round  657, temp = 20.000000, fitness =  56
Round  658, temp = 20.000000, fitness =  56
Round  659, temp = 20.000000, fitness =  56
Round  660, temp = 20.000000, fitness =  56
Round  661, temp = 20.000000, fitness =  56
Round  662, temp = 20.000000, fitness =  56
Round  663, temp = 20.000000, fitness =  56
Round  664, temp = 20.000000, fitness =  56
Round  665, temp = 20.000000, fitness =  56
Round  666, temp = 20.000000, fitness =  56
